B19001_001E:Total:,B19013_001E:Median household income in the past 12 months (in 2021 inflation-adjusted dollars),state_fips,county_fips,tract_fips,year,source
2680,80302,42,011,012004,2021,ACS 2021
718,71163,42,011,012101,2021,ACS 2021
855,76847,42,011,012103,2021,ACS 2021
1298,93036,42,011,012104,2021,ACS 2021
1558,99519,42,011,012106,2021,ACS 2021
1321,112305,42,011,012107,2021,ACS 2021
1357,56438,42,011,012200,2021,ACS 2021
1847,61696,42,011,012300,2021,ACS 2021
2978,67692,42,011,012400,2021,ACS 2021
885,67180,42,011,012500,2021,ACS 2021
844,56102,42,011,012600,2021,ACS 2021
2112,90673,42,011,012701,2021,ACS 2021
1574,80714,42,011,012702,2021,ACS 2021
1601,64250,42,011,012800,2021,ACS 2021
1656,67778,42,011,012901,2021,ACS 2021
1562,95238,42,011,012902,2021,ACS 2021
